X,Y,Z
 19,-35,  0
 18,-36,  0
 17,-36,  0
 16,-37,  0
 15,-37,  0
 37,-24,  0
 15,-36,  0
 36,-23,  0
 14,-34,  0
 36,-22,  0
 13,-32,  0
 35,-21,  0
 13,-31,  0
 34,-20,  0
 12,-29,  0
 34,-19,  0
 11,-28,  0
 33,-18,  0
 11,-26,  0
 32,-17,  0
 10,-25,  0
 32,-16,  0
 10,-23,  0
 31,-16,  0
  9,-22,  0
 31,-15,  0
  9,-21,  0
 30,-14,  0
  8,-19,  0
 29,-13,  0
  8,-18,  0
 29,-12,  0
  7,-17,  0
 28,-11,  0
  7,-16,  0
  6,-15,  0
 27,-10,  0
  6,-13,  0
 27, -9,  0
  5,-12,  0
 26, -8,  0
 26, -7,  0
  5,-10,  0
 25, -7,  0
  4, -9,  0
 25, -6,  0
  4, -8,  0
 24, -5,  0
  3, -7,  0
  3, -6,  0
 23, -4,  0
  3, -5,  0
 23, -3,  0
  2, -5,  0
  2, -4,  0
 22, -2,  0
  2, -3,  0
 22, -1,  0
  1, -2,  0
 21, -1,  0
  1, -1,  0
 21,  0,  0
 39,-25,  0
 40,-25,  0
 17,-37,  0
 22,  0,  0
 41,-25,  0
 18,-37,  0
 23,  0,  0
 42,-24,  0
 19,-37,  0
 23,  1,  0
 43,-24,  0
 20,-36,  0
 24,  1,  0
  3,  2,  0
 44,-24,  0
 22,-36,  0
 24,  2,  0
 45,-23,  0
 23,-36,  0
 25,  2,  0
  4,  3,  0
 46,-23,  0
 24,-36,  0
 26,  3,  0
 47,-23,  0
 25,-36,  0
  5,  5,  0
 49,-22,  0
 27,-36,  0
 27,  4,  0
 50,-22,  0
 28,-35,  0
 27,  5,  0
  6,  6,  0
 51,-22,  0
 30,-35,  0
 28,  5,  0
  7,  7,  0
 53,-21,  0
 31,-35,  0
 29,  6,  0
  7,  8,  0
 54,-21,  0
 33,-35,  0
 30,  6,  0
  8,  9,  0
 55,-20,  0
 35,-34,  0
 30,  7,  0
 57,-20,  0
 37,-34,  0
 31,  8,  0
  9, 11,  0
 59,-20,  0
 39,-34,  0
 32,  8,  0
 10, 12,  0
 60,-19,  0
 41,-33,  0
 33,  9,  0
 62,-19,  0
 44,-33,  0
 33, 10,  0
 64,-18,  0
 46,-33,  0
 34, 11,  0
 12, 15,  0
 65,-18,  0
 49,-32,  0
 35, 11,  0
 13, 16,  0
 67,-17,  0
 52,-32,  0
 36, 12,  0
 14, 18,  0
 69,-17,  0
 55,-31,  0
 37, 13,  0
 15, 19,  0
 71,-16,  0
 58,-31,  0
 38, 14,  0
 15, 20,  0
 74,-15,  0
 62,-30,  0
 39, 14,  0
 16, 21,  0
 76,-15,  0
 66,-30,  0
 40, 15,  0
 17, 23,  0
 78,-14,  0
 70,-29,  0
 41, 16,  0
 18, 24,  0
 81,-13,  0
 75,-28,  0
 42, 17,  0
 19, 26,  0
 83,-13,  0
 80,-28,  0
 43, 18,  0
 21, 28,  0
 86,-12,  0
 86,-27,  0
 44, 19,  0
 22, 29,  0
 89,-11,  0
 89,-12,  0
 89,-13,  0
 89,-14,  0
 90,-14,  0
 90,-15,  0
 90,-16,  0
 90,-17,  0
 90,-18,  0
 91,-18,  0
 91,-19,  0
 91,-20,  0
 91,-21,  0
 91,-22,  0
 92,-23,  0
 92,-24,  0
 92,-25,  0
 92,-26,  0
 87,-10,  0
 87,-22,  0
 85, -8,  0
 83,-18,  0
 83, -7,  0
 79,-14,  0
 81, -5,  0
 75,-11,  0
 79, -4,  0
 71, -8,  0
 77, -2,  0
 68, -5,  0
 75, -1,  0
 64, -3,  0
 73,  0,  0
 61,  0,  0
 72,  0,  0
 59,  1,  0
 70,  2,  0
 56,  4,  0
 68,  3,  0
 53,  6,  0
 67,  4,  0
 51,  8,  0
 66,  5,  0
 49,  9,  0
 64,  6,  0
 47, 11,  0
 63,  7,  0
 45, 13,  0
 61,  8,  0
 43, 14,  0
 60,  9,  0
 59, 10,  0
 39, 17,  0
 58, 11,  0
 38, 19,  0
 56, 12,  0
 36, 20,  0
 55, 13,  0
 35, 21,  0
 54, 13,  0
 33, 22,  0
 53, 14,  0
 32, 23,  0
 52, 15,  0
 31, 25,  0
 51, 16,  0
 29, 26,  0
 50, 16,  0
 28, 27,  0
 49, 17,  0
 27, 28,  0
 48, 18,  0
 26, 28,  0
 47, 19,  0
 25, 29,  0
 46, 19,  0
 24, 30,  0
 45, 20,  0
 44, 20,  0
 44, 21,  0
 43, 21,  0
 42, 21,  0
 42, 22,  0
 41, 22,  0
 40, 22,  0
 40, 23,  0
 39, 23,  0
 38, 23,  0
 37, 24,  0
 36, 24,  0
 35, 25,  0
 34, 26,  0
 33, 26,  0
 32, 26,  0
 32, 27,  0
 31, 27,  0
 30, 28,  0
 29, 28,  0
 28, 28,  0
 27, 29,  0
 26, 29,  0
 25, 30,  0
 23, 31,  0
 -1,  0,  0
 -2,  0,  0
 -3,  0,  0
 -4,  0,  0
 -5,  0,  0
 -6,  0,  0
 -7,  0,  0
 -8,  0,  0
 -9,  0,  0
-10,  0,  0
-12,  0,  0
-14,  0,  0
-15,  0,  0
-16,  0,  0
-17,  0,  0
-19,  0,  0
-20,  0,  0
-21,  0,  0
-23,  0,  0
-24,  0,  0
-25,  0,  0
-27,  0,  0
-28,  0,  0
-30,  0,  0
-32,  0,  0
-33,  0,  0
-35,  0,  0
-37,  0,  0
-38,  0,  0
-38,  1,  0
-38,  2,  0
-38,  3,  0
-38,  4,  0
-38,  5,  0
-38,  6,  0
-37,  7,  0
-37,  8,  0
-37,  9,  0
 -3,  7,  0
-37, 10,  0
-37, 11,  0
-37, 12,  0
-37, 13,  0
-37, 14,  0
 -4, 10,  0
-36, 14,  0
-36, 15,  0
-36, 16,  0
-36, 17,  0
-36, 18,  0
-36, 19,  0
-36, 20,  0
 -6, 15,  0
-36, 21,  0
-35, 21,  0
-35, 22,  0
-35, 23,  0
 -6, 18,  0
 -7, 18,  0
 -8, 18,  0
 -9, 18,  0
-10, 19,  0
-11, 19,  0
-12, 19,  0
-13, 19,  0
-14, 20,  0
-15, 20,  0
-16, 20,  0
-17, 20,  0
-18, 20,  0
-19, 20,  0
-19, 21,  0
-20, 21,  0
-21, 21,  0
-22, 21,  0
